DATE,MONTH,YEAR,MNTHYR,ADDRESS,CITYCTY,STATE,LAT,LNG,KILLED,INJURED
3/26/17,3,2017,32017,5619 Aldine Bender Rd,Houston,Texas,29.932087,-95.305694,2,4
3/26/17,3,2017,32017,4601 Kellogg Ave,Cincinnati,Ohio,39.092915,-84.428367,2,15
3/26/17,3,2017,32017,E 75th St,Cleveland,Ohio,41.50685,-81.636384,2,2
3/25/17,3,2017,32017,8443 Grand River Ave,Detroit,Michigan,42.361132,-83.120979,1,3
3/25/17,3,2017,32017,Minnesota Avenue,Knoxville,Tennessee,35.984637,-83.957805,1,4
3/25/17,3,2017,32017,E 79th St and Woodland Ave,Cleveland,Ohio,41.488181,-81.633375,2,2
3/24/17,3,2017,32017,300 block of South Villa Avenue,Fresno,California,36.740763,-119.714192,1,4
3/24/17,3,2017,32017,5100 block of Palm St,Saint Louis,Missouri,38.676456,-90.254644,1,6
3/22/17,3,2017,32017,1133 E Grand Ave,Rothschild,Wisconsin,44.899729,-89.609533,5,0
3/19/17,3,2017,32017,1512 Portland Avenue,Louisville,Kentucky,38.261852,-85.774954,1,5
3/18/17,3,2017,32017,16000 block of Rutherford,Detroit,Michigan,42.408549,-83.204414,3,2
3/15/17,3,2017,32017,2508 Pasadena Ave,Metairie,Louisiana,29.997324,-90.176283,3,1
3/10/17,3,2017,32017,123 E 51st St,Chicago,Illinois,41.801766,-87.621474,2,2
3/10/17,3,2017,32017,4200 block of Touro St,New Orleans (Gentilly),Louisiana,30.000831,-90.061864,3,1
3/7/17,3,2017,32017,West 76th Street and South May streets,Chicago,Illinois,41.755971,-87.652669,0,4
3/5/17,3,2017,32017,600 block of 32nd Street,Columbus,Georgia,32.494072,-84.985107,0,4
3/4/17,3,2017,32017,23rd and Bellview,Topeka,Kansas,39.026109,-95.644968,1,4
3/4/17,3,2017,32017,2500 block of 33rd St,Sacramento,California,38.555427,-121.469783,0,4
3/3/17,3,2017,32017,7165 Germantown Ave,Philadelphia,Pennsylvania,40.060152,-75.19072,0,4
3/3/17,3,2017,32017,8300 block of Trey Ave,Riverside,California,33.940568,-117.462592,0,5
2/28/17,2,2017,22017,1700 of Casey Drive,Cincinnati,Ohio,39.177764,-84.546239,0,6
2/27/17,2,2017,22017,11810 Fountain Way,Newport News,Virginia,37.085587,-76.471672,0,4
2/26/17,2,2017,22017,1700 block of Grant St,Gary,Indiana,41.58589,-87.356312,1,4
2/25/17,2,2017,22017,1564 Niles Cortland Rd SE,Warren,Ohio,41.220877,-80.740575,2,3
2/25/17,2,2017,22017,3604 Moncrief Rd,Jacksonville,Florida,30.360314,-81.67654,1,4
2/22/17,2,2017,22017,191 Genesee St,Rochester,New York,43.146447,-77.636194,0,4
2/21/17,2,2017,22017,16700 Lorain Ave,Cleveland,Ohio,41.450927,-81.813942,0,4
2/21/17,2,2017,22017,Butts Road,Toomsuba,Mississippi,32.43378,-88.496796,4,0
2/20/17,2,2017,22017,1082 East 105th Street,Cleveland,Ohio,41.527551,-81.615771,0,5
2/19/17,2,2017,22017,Church Street and East Virginia Beach Blvd,Norfolk,Virginia,36.856425,-76.279114,1,3
2/18/17,2,2017,22017,1 block of N Conestoga,Philadelphia,Pennsylvania,39.960659,-75.229753,0,4
2/18/17,2,2017,22017,1000 block of Yukon St,South Bend,Indiana,41.691514,-86.263453,1,3
2/15/17,2,2017,22017,30 Soledad Street,Salinas,California,36.678808,-121.652685,0,4
2/15/17,2,2017,22017,3949 South Albany Avenue,Chicago,Illinois,41.821196,-87.701846,3,2
2/12/17,2,2017,22017,908 Truman Blvd,Caruthersville,Missouri,36.189868,-89.667596,1,6
2/12/17,2,2017,22017,253 South William Street,Newburgh,New York,41.496401,-74.018992,1,3
2/12/17,2,2017,22017,Church Ave and Obadiah St,Greenville,Florida,30.461716,-83.633028,0,5
2/11/17,2,2017,22017,Clifton Road and Midway Drive,Savannah,Tennessee,35.23527,-88.232803,0,4
2/11/17,2,2017,22017,100 block of North Mayfield,Chicago,Illinois,41.882394,-87.771871,1,3
2/10/17,2,2017,22017,2nd St and Dryades St,New Orleans,Louisiana,29.934858,-90.085396,1,5
2/9/17,2,2017,22017,3150 Robinson Road,Jackson,Mississippi,32.30678,-90.239188,4,0
2/8/17,2,2017,22017,16379 Euclid Ave,Cleveland,Ohio,41.546178,-81.566011,1,4
2/7/17,2,2017,22017,5500 block of Fairfield Road,Columbia,South Carolina,34.059263,-81.025735,0,4
2/7/17,2,2017,22017,25 Par Drive,Little Rock,Arkansas,34.672863,-92.42902,1,4
2/6/17,2,2017,22017,11th Street,Yazoo City,Mississippi,32.860581,-90.399996,4,0
1/31/17,1,2017,12017,1576 S White Station Rd,Memphis,Tennessee,35.088101,-89.890361,0,4
1/31/17,1,2017,12017,2900 block of Martin Luther King Jr Ave,Washington,District of Columbia,38.845902,-76.996428,0,4
1/30/17,1,2017,12017,5410 Lakeland Ave N,Minneapolis (Crystal),Minnesota,45.051331,-93.353864,0,4
1/29/17,1,2017,12017,6363 Hearne Ave,Shreveport,Louisiana,32.448932,-93.7799,1,4
1/27/17,1,2017,12017,Tenino Dr W,Bremerton,Washington,47.562518,-122.828361,4,0
1/27/17,1,2017,12017,221 Morgan St,Brownsville,Tennessee,35.596439,-89.231318,0,10
1/26/17,1,2017,12017,1510 Maryland Drive,Albany,Georgia,31.584726,-84.183096,2,3
1/25/17,1,2017,12017,500 block of E 75th St,Chicago,Illinois,41.758675,-87.612292,0,6
1/22/17,1,2017,12017,200 block of Oak Shore Dr,Manvel,Texas,29.514392,-95.374781,3,2
1/22/17,1,2017,12017,1800 block of W 63rd,Chicago (Englewood),Illinois,41.779591,-87.669346,0,4
1/22/17,1,2017,12017,2841 Greenbriar Pkwy SW,Atlanta,Georgia,33.687787,-84.493453,3,1
1/21/17,1,2017,12017,6510 Tara Blvd,Jonesboro,Georgia,33.576888,-84.372071,0,6
1/21/17,1,2017,12017,500 NE 2nd St,Boynton Beach,Florida,26.530794,-80.06166,0,5
1/21/17,1,2017,12017,500 block of Delta Road,Memphis,Tennessee,35.018063,-90.080834,2,2
1/20/17,1,2017,12017,Smart Road,Como,Mississippi,34.533434,-89.774161,1,4
1/20/17,1,2017,12017,4700 block of E Montecito Ave,Fresno,California,36.734078,-119.740962,0,4
1/16/17,1,2017,12017,8535 Martin Luther King Boulevard,Houston,Texas,29.659048,-95.336191,0,4
1/16/17,1,2017,12017,6011 NW 32nd Ave,Miami,Florida,25.829429,-80.248881,0,8
1/15/17,1,2017,12017,County Road Y,Capulin,Colorado,37.281697,-106.108631,3,1
1/15/17,1,2017,12017,6000 block of Church Road,Magnolia,Mississippi,31.128529,-90.534022,1,4
1/12/17,1,2017,12017,8607 E 61st Terrace,Kansas City,Missouri,39.012218,-94.485569,3,2
1/12/17,1,2017,12017,500 block of Sunrise St,Salinas,California,36.685208,-121.614173,2,2
1/11/17,1,2017,12017,Hawkins Street and Christie Street,Newark,New Jersey,40.727889,-74.138847,1,3
1/11/17,1,2017,12017,4200 block of S Talman,Chicago,Illinois,41.8173,-87.690796,1,3
1/7/17,1,2017,12017,2500 block of Churchill Ave,Flint,Michigan,43.03413,-83.658786,1,3
1/6/17,1,2017,12017,100 block of W Claremont St,Pasadena,California,34.166665,-118.152891,2,2
1/6/17,1,2017,12017,100 Terminal Dr,Fort Lauderdale,Florida,26.07169,-80.145253,5,6
1/4/17,1,2017,12017,14520 Village Drive,Fontana,California,34.043743,-117.486174,3,1
1/3/17,1,2017,12017,500 block of Hawthorne Drive,Allen,Texas,33.084276,-96.66645,0,4
1/1/17,1,2017,12017,114 North Greyer Street,Winstonville,Mississippi,33.914012,-90.751505,0,5
1/1/17,1,2017,12017,9220 Skillman Street,Dallas,Texas,32.902199,-96.714325,1,3
1/1/17,1,2017,12017,8000 block of NW 14th Ave,Miami,Florida,25.848283,-80.221656,0,7
